title,stemmed_text
Beverly Hills Cop,heat fast pace action comedi star eddi murphi axel foley street smart detroit cop track best friend killer beverli hill axel quickli learn wild style fit beverli hill polic depart assign two offic judg reinhold john ashton make sure thing get hand drag stuffi detect along ride axel smash huge cultur clash hilari high speed pursuit justic featur cameo paul reiser bronson pinchot damon wayan beverli hill cop exhilar sidesplit adventur
Megacities,megac documentari slum five differ metropolitan citi
Anatomy of a Murder,semi retir michigan lawyer paul biegler take case armi lt manion murder local innkeep wife claim rape cours extens trial biegler parri district attorney lodwick town prosecutor claud dancer set client free case rest victim mysteri busi partner hide dark secret
Kunstgriff,kunstgriff brilliantli film black white short film andr f nebe give proof storytel abil minut film
Armageddon,asteroid threaten collid earth nasa honcho dan truman determin way stop drill surfac deton nuclear bomb lead renown driller harri stamper agre helm danger space mission provid bring along hotshot crew among cocksur j harri think good enough daughter mission prove otherwis
Beverly Hills Cop II,axel head land sunshin palm tree find shot polic captain andrew bogomil thank coupl old friend axel investig uncov seri robberi mastermind heartless weapon kingpin chase
Tron,kevin flynn search proof invent hit video game digit laser find insid grid program suffer tyrann rule master control program mcp help secur program call tron flynn seek free grid mcp
Gladiator,year death emperor marcu aureliu throw roman empir chao maximu one roman armi capabl trust gener key advisor emperor marcu deviou son commodu ascend throne maximu set execut escap captur slave trader renam spaniard forc becom gladiat maximu must battl death men amus pay audienc
"Lock, Stock and Two Smoking Barrels",card shark unwillingli enlist friend need make lot cash quick lose sketchi poker match decid pull heist small time gang happen oper flat next door
Léon: The Professional,l top hit man new york earn rep effect cleaner next door neighbor wipe loos cannon dea agent becom unwil custodian year old mathilda long mathilda thought turn reveng consid follow l footstep
Taxi Driver,mental unstabl vietnam war veteran work night time taxi driver new york citi perceiv decad sleaz feed urg violent action attempt save preadolesc prostitut process
Back to the Future,eighti teenag marti mcfli accident sent back time inadvert disrupt parent first meet attract mother romant interest marti must repair damag histori rekindl parent romanc help eccentr inventor friend doc brown return
Predator,dutch group commando hire cia rescu down airmen guerilla central american jungl mission goe well return find someth hunt nearli invis blend forest take trophi bodi victim goe along occasion see eye audienc see intellig alien hunter hunt sport kill one time
Snatch,unscrupul box promot violent bookmak russian gangster incompet amateur robber supposedli jewish jewel fight track priceless stolen diamond
Scarface,get green card exchang assassin cuban govern offici toni montana stake claim drug trade miami vicious murder anyon stand way toni eventu becom biggest drug lord state control nearli cocain come miami increas pressur polic war colombian drug cartel drug fuel paranoia serv fuel flame eventu downfal
Pretty Woman,millionair wheeler dealer enter busi contract hollywood hooker vivian ward lose heart bargain
The Big Lebowski,jeffrey dude lebowski lo angel slacker want bowl drink white russian mistaken anoth jeffrey lebowski wheelchair bound millionair find drag strang seri event involv nihilist adult film produc ferret errant toe larg sum money
Match Point,match point woodi allen satir british high societi ambit young tenni instructor enter yet must decid two women one assur place high societi would take far palm start sweat dark psycholog match head begin
The Untouchables,young treasuri agent elliot ness arriv chicago determin take al capon go easi capon polic pocket ness meet jimmi malon veteran patrolman probabl honor one forc ask malon help get capon malon warn goe capon go war
Charlie and the Chocolate Factory,young boy win tour magnific chocol factori world led world unusu candi maker
