title,stemmed_text
Home Alone 2: Lost in New York,instead fli florida folk kevin end alon new york get hotel room dad credit card despit problem clerk meddl bellboy kevin run old nemes wet bandit determin foil plan rob toy store christma eve
Little Miss Sunshine,famili load quirki color charact pile old van road trip california littl oliv compet beauti pageant
Gattaca,futur societi era indefinit eugen human set life cours depend dna young vincent freeman born condit would prevent space travel yet determin infiltr gattaca space program
Gandhi,earli year centuri mohanda k gandhi british train lawyer forsak worldli possess take caus indian independ face arm resist british govern gandhi adopt polici passiv resist endeavour win freedom peopl without resort bloodsh
Almost Famous,year old william miller unabash love music aspir becom rock journalist land assign roll stone magazin interview tour come band stillwat
Mr. & Mrs. Smith,five six year vanilla wed bliss ordinari suburbanit john jane smith stuck huge rut unbeknownst coolli lethal highli paid assassin work rival organis discov next target secret live collid spici explos mix wick comedi pent passion nonstop action high tech weaponri
Mrs. Doubtfire,love irrespons dad daniel hillard estrang exasper spous crush court order allow weekli visit kid daniel learn ex need housekeep get job disguis english nanni soon becom children best pal kind parent start
The Fog,strang thing begin occur tini california coastal town prepar commemor centenari inanim object spring eerili life rev malon stumbl upon dark secret town found radio announc stevi wit mystic fire hitchhik elizabeth discov mutil corps fisherman mysteri iridesc fog descend upon villag peopl start die
The Fog,trap within eeri mist resid antonio bay becom unwit victim horrifi vengeanc one hundr year earlier ship carri leper purpos lure onto rocki coastlin sank drown aboard back long dead marin wait centuri reveng
Platoon,young naiv recruit vietnam chri taylor face moral crisi confront horror war dualiti man
Blue Velvet,discoveri sever human ear found field lead young man investig relat beauti mysteri nightclub singer group crimin kidnap child
The Omen,immedi miscarriag us diplomat robert thorn adopt newborn damien without knowledg wife yet know new son son devil
City of Angels,guardian angel seth invis watch citizen lo angel becom captiv maggi strong will heart surgeon ponder trade pure otherworldli exist mortal life belov coupl embark tender forbidden romanc span heaven earth
Cruel Intentions,slake thirst danger game kathryn challeng stepbroth sebastian deflow headmast daughter summer end succe prize chanc bed kathryn lose kathryn claim prize possess
"Good Morning, Vietnam",radio funni man adrian cronauer sent vietnam bring littl comedi back live soldier set shop cronauer delight g shock superior offic sergeant major dickerson irrever take war dickerson attempt censor cronauer broadcast cronauer pursu relationship vietnames girl name trinh show horror war first hand
Lolita,humbert humbert middl age british novelist appal attract vulgar american cultur come stay board hous run charlott haze soon becom obsess lolita woman teenag daughter
Roman Holiday,overwhelm suffoc schedul tour european princess ann take night rome sed took doctor kick howev fall asleep park bench found american report joe bradley take back apart safeti work next morn joe find ann regal ident bet editor get exclus interview romanc soon get way
Rosemary's Baby,young coupl rosemari guy move infam new york apart build known frighten legend mysteri event purpos start famili
The Omen,diplomat coupl adopt son devil without know remak classic horror film name
Se7en,two homicid detect desper hunt serial killer whose crime base seven deadli sin dark haunt film take viewer tortur remain one victim next season det sommerset research sin effort get insid killer mind novic partner mill scoff effort unravel case
Shrek,easi bein green especi likabl albeit smelli ogr name shrek mission retriev gorgeou princess clutch fire breath dragon shrek team unlik compatriot wisecrack donkey
Shrek 2,shrek fiona donkey set far far away meet fiona mother father everyon happi shrek king find hard get along tension marriag fairi godmoth discov shrek marri fiona instead son princ charm set destroy marriag
Shrek the Third,king far far away die shrek fiona becom king queen howev shrek want return cozi swamp live peac quiet find anoth heir throne set bring back rule kingdom
Silent Running,futur earth barren flora fauna planet ecosystem exist larg pod attach spacecraft word come pod jettison space destroy spacecraft reus commerci purpos crew valley forg rejoic prospect go home botanist freeman lowel love forest creatur decid take matter hand protect love
Aladdin,princess jasmin grow tire forc remain palac sneak marketplac disguis meet street urchin aladdin coupl fall love although jasmin may marri princ thrown jail aladdin becom embroil plot find mysteri lamp evil jafar hope rule land
Airplane!,person event film fictiti fortun masterpiec wall comedi airplan featur robert hay ex fighter pilot forc take control airlin flight crew succumb food poison juli hagerti girlfriend stewardess co pilot cast star includ robert stack lloyd bridg peter grave lesli nielsen kareem abdul jabbar hilari high jink spoof airplan disast flick religi zealot televis commerci romant love list whirl rapid success stori race one moment zani fun next
An American Werewolf in London,two american tourist england attack werewolf none local admit exist
Animal Farm,anim film base famou novel georg orwel anim farm lead revolut farmer put destini hand howev revolut eat children cannot avoid corrupt
Austin Powers: International Man of Mystery,swingin fashion photograph day groovi british superag night austin power shagadel spi babi stop megalomaniac dr evil bald villain freez unthaw help sexi sidekick vanessa kensington might
Austin Powers: The Spy Who Shagged Me,diabol geniu dr evil travel back time steal superspi austin power mojo austin must return swingin help american agent felic shagwel stop dastardli plan austin face dr evil armi minion tri save world unbeliev groovi way
Austin Powers in Goldmember,world shagadel spi continu fight dr evil time diabol doctor clone mini team new foe kingpin goldmemb pursu team villain stop world domin austin get help dad old girlfriend
Sleepers,two gangster seek reveng state jail worker stay youth prison sexual abus sensat court hear take place charg crime
JFK,follow investig assassin presid john f kennedi led new orlean district attorney jim garrison
Judgment at Nuremberg,four german judg serv bench nazi regim face militari tribun answer charg crime human chief justic haywood hear evid testimoni lead defend ernst jan defens attorney han rolf also widow nazi gener idealist u armi captain reluct wit iren wallner
Moulin Rouge!,celebr love creativ inspir take place infam gaudi glamor parisian nightclub cusp centuri young poet plung headi world moulin roug begin passion affair club notori beauti star
Playing by Heart,eleven articul peopl work affair heart l paul produc hannah tv cook show mark die aid men scald meredith rebuff trent charm persist trendi prolix joan tri pull solitari keenan orbit adulter coupl meet hotel even sex hugh tell tall tale usual tragic women bar
The Bridge on the River Kwai,classic stori english pow burma forc build bridg aid war effort japanes captor british american intellig offic conspir blow structur col nicholson command supervis bridg construct acquir sens pride creation tri foil plan
The Day the Earth Stood Still,alien robot land earth world war ii tell mankind peac face destruct
Chinatown,privat eye jake gitt live murki moral climat sunbak pre world war ii southern california hire beauti socialit investig husband extra marit affair gitt swept maelstrom doubl deal deadli deceit uncov web person polit scandal come crash togeth
Forbidden Planet,starship travel planet altair search crew spaceship bellerophon scientif expedit miss year find unwelcom expedit lone survivor warn destruct invis forc turn back immedi
This Island Earth,alien land hide earth need earth scientist help fight inter planetari war
Underworld: Evolution,war vampir lycan rage selen former member death dealer elit vampir special forc unit hunt werewolv michael werewolf hybrid work togeth effort unlock secret respect bloodlin
Videodrome,presid trashi tv channel max renn desper new program attract viewer happen upon videodrom tv show dedic gratuit tortur punish max see potenti hit broadcast show channel howev girlfriend audit show never return max investig truth behind videodrom discov graphic violenc may fake thought
American Graffiti,coupl high school graduat spend one final night cruis strip buddi go colleg
Duel,travel businessman david mann anger driver rusti tanker cross california desert simpl trip turn deadli mann struggl stay road tanker play cat mous life
Close Encounters of the Third Kind,encount ufo line worker feel undeni drawn isol area wilder someth spectacular happen
Dune,year world war control desert planet dune place time travel substanc spice found one leader give control stage coup unsavori charact
The Assassination of Richard Nixon,sam bick lost everyth wife leav three kid boss fire brother turn away bank give money start anew tri find someon blame misfortun come presid unit state plan murder
Strangers on a Train,derang socialit accost tenni star theori two stranger trade murder disguis motiv avoid suspicion
The X Files,mulder sculli taken fbi x file case must find way fight shadowi element govern find truth conspiraci might mean alien colon earth
Willow,evil queen bavmorda hunt newborn princess elora danan child prophesi bring downfal royal infant found willow timid farmer aspir sorcer entrust deliv evil
Dragonslayer,sorcer apprentic galen mission kill evil dragon order save king daughter sacrif accord pact king made dragon protect kingdom fantasi film disney studio exhaust possibl visual effect time
Krull,princ fellowship companion set rescu bride fortress alien invad arriv home planet
A Christmas Story,comic mishap adventur young boy name ralph tri convinc parent teacher santa red ryder b b gun realli perfect christma gift
Brief Encounter,return home shop trip nearbi town bore suburban housewif laura jesson thrown happenst acquaint virtuou doctor alec harvey casual friendship soon develop weekli visit someth emot fulfil either expect must wrestl potenti havoc deepen relationship would live live love
Enemy at the Gates,russian german sniper play game cat mous battl stalingrad wwii
The Mask,timid bank clerk stanley ipkiss discov magic mask contain spirit nors god loki entir life chang wear mask ipkiss becom supernatur playboy exud charm confid allow catch eye local nightclub singer tina carlyl unfortun mask influenc ipkiss also rob bank anger junior crime lord dorian tyrel whose goon get blame heist
Black Hawk Down,u ranger elit delta forc team attempt kidnap two underl somali warlord black hawk helicopt shot american suffer heavi casualti face intens fight militia ground
Who Framed Roger Rabbit,toon star roger worri wife jessica play pattycak someon els studio hire detect eddi valiant snoop stake quickli rais marvin acm found dead roger prime suspect
Saving Private Ryan,u troop storm beach normandi three brother lie dead battlefield fourth trap behind enemi line ranger captain john miller seven men task penetr german held territori bring boy home
Sleepless in Seattle,desper find dad sam date young boy call radio show catch attent anni journalist want meet sam atop empir state build
Dangerous Liaisons,centuri franc marquis de merteuil ask ex lover vicomt de valmont seduc futur wife anoth ex lover return one last night yet thing go plan
WarGames,high school student david lightman talent hack tri hack comput system play unreleas video game unwittingli tap defens depart war comput initi confront global proport togeth girlfriend wizardli comput geniu david must race time outwit oppon prevent nuclear armageddon
Total Recall,construct worker dougla quaid discov memori chip brain virtual realiti trip also find past invent conceal plot planetari domin soon mar find plant chip
Toy Story,led woodi andi toy live happili room andi birthday bring buzz lightyear onto scene afraid lose place andi heart woodi plot buzz circumst separ buzz woodi owner duo eventu learn put asid differ
Toy Story 2,andi head cowboy camp leav toy devic thing shift high gear obsess toy collector name al mcwhiggen owner al toy barn kidnap woodi andi toy mount dare rescu mission buzz lightyear meet match woodi decid heart truli belong
Cool Runnings,jamaican sprinter disqualifi olymp game enlist help dishonor coach start first jamaican bobsl team
The Running Man,global economi collaps u societi becom totalitarian polic state censor cultur activ govern pacifi populac broadcast number game show convict crimin fight live includ gladiat style run man host ruthless damon killian runner attempt evad stalker certain death chanc pardon set free
Finding Neverland,write slump playwright j barri meet widow three children soon becom import part barri life inspir lead creat masterpiec peter pan
Sliver,woman move apart manhattan learn previou tenant life end mysteri fell balconi
Planet of the Apes,spectacular crash land unchart planet brash astronaut leo davidson find trap savag world talk ape domin human race desper find way home leo must evad invinc gorilla armi led ruthless gener thade
Planet of the Apes,u spaceship land desol planet strand astronaut taylor world domin ape year futur use primit race human experiment sport soon taylor find among hunt life hand benevol chimpanze scientist
Singin' in the Rain,hollywood silent film product compani cast make difficult transit sound
The Color Purple,epic tale span forti year life celi african american woman live south surviv incred abus bigotri celi abus father marri equal debas mister albert johnson thing go bad wors leav celi find companionship anywher persever hold dream one day reunit sister africa
A Man for All Seasons,depict conflict king henri viii england lord chancellor sir thoma refus swear oath supremaci declar henri suprem head church england
Shanghai Express,beauti temptress kindl old romanc tri escap past tension pack train journey
Scarface,murder thug shoot way top mob tri protect sister crimin life
Hook,boy suppos grow peter pan becom soulless corpor lawyer whose workahol could cost wife kid trip see granni wendi london veng capt hook kidnap peter kid forc peter return neverland
A Few Good Men,cocki militari lawyer lt daniel kaffe co counsel lt cmdr joann galloway assign murder case uncov haze ritual could implic high rank offici shadi col nathan jessep
Coffee and Cigarettes,coffe cigarett collect eleven film cult director jim jarmusch film host star stud cast extrem uniqu individu share common activ convers drink coffe smoke cigarett
Crash,get seriou car accid tv director discov underground sub cultur scar omnisexu car crash victim use car accid raw sexual energi produc tri rejuven sex life wife
The Docks of New York,blue collar worker new york depress waterfront find life chang save woman attempt suicid
The Cincinnati Kid,come poker player tri prove high stake match long time master game
The Best Years of Our Lives,hope sustain spirit everi gi dream day final return home three wwii veteran day arriv man dream becom nightmar captain fred derri return loveless marriag sergeant al stephenson stranger famili grown without young sailor homer parrish torment loss hand three men find courag rebuild world best year live thing past
The Flintstones,modern stone age famili flintston hit big screen live action version classic cartoon fred help barney adopt child barney see opportun repay slate mine test employe find new execut good deed goe unpunish
The Flintstones in Viva Rock Vegas,flintston flintston rubbl head rock vega fred hope court love wilma noth stand way love except conniv chip rockefel playboy born baysvil made cutthroat town rock vega fred win wilma love
All the President's Men,elect two report investig shed light controversi waterg scandal compel presid richard nixon resign post
Birdman of Alcatraz,kill prison guard convict robert stroud face life imprison solitari confin driven nearli mad loneli despair stroud life gain new mean happen upon helpless babi sparrow exercis yard nurs back health despit third grade educ stroud goe becom renown ornithologist achiev greater sens freedom purpos behind bar peopl find outsid world
Broken Blossoms,love stori abus english girl chines buddhist time london brutal harsh place live
Bringing Up Baby,david huxley wait get bone need museum collect seri strang circumst meet susan vanc duo seri misadventur includ leopard call babi
City Lights,sound era silent film tramp fall love beauti blind flower seller
Cool Hand Luke,petti crimin luke jackson sentenc two year florida prison farm play rule either sadist warden yard resid heavi draglin end admir new guy unbreak luke bravado even face repeat stint prison dread solitari confin cell box make rebel hero fellow convict thorn side prison offic
Doctor Zhivago,life russian physician poet although marri anoth fall love polit activist wife experi hardship world war octob revolut
Meet Me in St. Louis,year st loui world fair four smith daughter learn lesson life love even prepar reluct move new york
The Big Sleep,privat investig philip marlow hire wealthi gener sternwood regard matter involv youngest daughter carmen complex case marlow see murder blackmail decept might love
The Bank Dick,egbert sou becom unexpect hero bank robber fall bench occupi consid brave egbert given job bank guard soon approach charlatan j frothingham waterburi buy share mine compani egbert persuad teller og oggilbi lend bank money return scheme pay unfortun bank inspector snoopington make surpris appear
The Thomas Crown Affair,young businessman thoma crown bore decid plan robberi assign profession agent right inform job howev crown soon betray yet cannot blow cover love
The Thomas Crown Affair,rich success playboy amus steal artwork may met match seduct detect
The Great Dictator,dictat adenoid hynkel tri expand empir poor jewish barber tri avoid persecut hynkel regim
Bullitt,senat walter chalmer aim take mob boss pete ross help testimoni crimin hothead brother johnni protect custodi san francisco watch polic lieuten frank bullitt pair mob hitmen enter scene bullitt follow trail maze complic doubl cross thriller includ one famou car chase ever film
Blind Date,bachelor walter davi set sister law pretti cousin nadia gate seemingli averag blind date turn chaotic night town walter brother ted tell let nadia drink alcohol dismiss warn behaviour get increasingli wild walter nadia numer incid made even wors former lover david relentlessli follow around town
Blood: The Last Vampire,japan vampir hunter saya power origin sent liaison govern david pose teenag student yokota high school eve halloween hunt vampir saya ask david give new katana soon save school nurs makiho amano two vampir disguis classmat makiho wit fight power demon
Cars,lightn mcqueen hotshot rooki race car driven succeed discov life journey finish line find unexpectedli detour sleepi rout town radiat spring rout across countri big piston cup championship california compet two season pro mcqueen get know town offbeat charact
Cinderella Man,true stori boxer jim braddock follow retir make surpris comeback order get famili social poor state
Dead Man,run murder man account william blake encount strang north american man name nobodi prepar journey spiritu world
Dawn of the Dead,ever grow epidem zombi risen dead two philadelphia swat team member traffic report televis execut girlfriend seek refug seclud shop mall
Dawn of the Dead,group survivor take refug shop mall world taken aggress flesh eat zombi
Do the Right Thing,salvator sal fragion italian owner pizzeria brooklyn neighborhood local buggin becom upset see pizzeria wall fame exhibit italian actor buggin believ pizzeria black neighborhood showcas black actor sal disagre wall becom symbol racism hate buggin peopl neighborhood tension rise
Galaxy Quest,four year courag crew nsea protector command peter quinci taggart tim allen lt tawni madison sigourney weaver dr lazaru alan rickman set thrill often danger mission space seri cancel twenti year later alien attack mistaken galaxi quest televis transmiss histor document beam crew actor save univers script director clue actor must turn perform live
Gremlins,billi peltzer given strang ador pet name gizmo christma inadvert break three import rule care mogwai unleash hord mischiev gremlin small town
Gremlins 2: The New Batch,young sweetheart billi kate move big appl land job high tech offic park soon reunit friendli lovabl gizmo seri accid creat whole new gener gremlin situat worsen devilish green creatur invad top secret laboratori develop genet alter power make even harder destroy
Godzilla,french nuclear test irradi iguana giant monster vicious attack freighter ship pacif ocean team expert includ niko tatopoulo conclud overs reptil culprit long giant lizard loos manhattan us militari race destroy monster reproduc spawn take world
Don't Look Now,laura john griev terribl loss meet venic john charg restor church two mysteri sister one give messag sent afterlif
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,insan gener jack ripper initi nuclear strike soviet union war room full politician gener russian diplomat frantic tri stop nuclear strike
The Pink Panther,trademark phantom renown jewel thief glove left scene crime inspector clouseau expert phantom exploit feel sure know phantom strike next leav pari tyrolean alp famou lugashi jewel pink panther go howev know phantom realli matter anyon els realli
The Jazz Singer,young jewish man torn tradit individu old fashion famili object career jazz singer first full length featur film use synchron sound origin film music
The Lady Vanishes,train head england group travel delay avalanch hole hotel fiction european countri young iri befriend elderli miss froy train resum iri suffer bout unconsci wake find old woman disappear passeng omin deni miss froy ever exist iri begin investig anoth travel pair sleuth romant spark fli
Lethal Weapon,veteran button lapd detect roger murtaugh partner unhing cop martin rigg distraught wife death death wish take unnecessari risk crimin everi turn odd coupl embark first homicid investig partner involv young woman known murtaugh tie drug prostitut ring
Lethal Weapon 2,open chase martin rigg roger murtaugh stumbl across trunk full krugerrand follow trail south african diplomat use immun conceal smuggl oper plant bomb murtaugh toilet action explod
Lethal Weapon 3,archetyp buddi cop rigg murtaugh back anoth round high stake action time set collect sight bring former lo angel polic lieuten turn black market weapon dealer lorna cole join beauti yet hardnos intern affair sergeant catch rigg eye
Lethal Weapon 4,combust action franchis final instal maverick detect martin rigg roger murtaugh squar asian mobster wah sing ku neck slave trade counterfeit currenc help gumsho leo getz smart aleck rooki cop lee butter rigg murtaugh aim take ku gang
Letter from an Unknown Woman,pianist flee duel receiv letter woman cannot rememb tell stori lifelong love forc reinterpret past
Lawrence of Arabia,stori british offic e lawrenc mission aid arab tribe revolt ottoman empir first world war lawrenc becom flamboy messian figur caus arab uniti psycholog instabl threaten undermin achiev
Halloween,fifteen year murder sister halloween night michael myer escap mental hospit return small town haddonfield illinoi kill
Heat,obsess master thief neil mccauley lead top notch crew variou dare heist throughout lo angel determin detect vincent hanna pursu without rest man recogn respect abil dedic even though awar cat mous game may end violenc
Ice Age: The Meltdown,diego manni sid return sequel hit anim movi ice age time around deep freez ice cover earth start melt destroy trio cherish valley impend disast prompt reunit warn beast desper situat
Kindergarten Cop,hard edg cop john kimbl get bargain goe undercov kindergarten teacher get good brutal drug lord time protect man young son pit class boister moppet whose antic tri patienc test mettl kimbl may met match way one
Madagascar,alex lion king urban jungl main attract new york central park zoo best friend marti zebra melman giraff gloria hippo spent whole live bliss captiv admir public regular meal provid content leav well enough alon marti let curios get better make escap help prodigi penguin explor world
Mission: Impossible,ethan hunt leader crack espionag team whose peril oper gone awri explan discov mole penetr cia surpris learn suspect clear name hunt must ferret real doubl agent process even score
Mission: Impossible II,comput geniu luther stickel side beauti thief mind agent ethan hunt race across australia spain stop former imf agent unleash genet engin biolog weapon call chimera mission hunt choos accept plung center intern crisi terrifi magnitud
Mission: Impossible III,retir activ duti train new imf agent ethan hunt call back action confront sadist arm dealer owen davian hunt must tri protect girlfriend work new team complet mission
Spaceballs,nefari dark helmet hatch plan snatch princess vespa steal planet air space bum hire lone starr clueless sidekick fli rescu along way meet yogurt put lone starr wise power schwartz master time save day
The General,america civil war union spi steal engin johnni gray belov locomot gener johnni ladi love aboard attach boxcar singl handedli must power get gener back rescu annabel
The Gold Rush,lone prospector ventur alaska look gold soon get mix burli charact fall love beauti georgia tri win heart singular charm
The Maltese Falcon,privat detect take case involv three eccentr crimin beauti liar quest priceless statuett
The Phantom of the Opera,grotesqu disfigur compos known phantom haunt pari opera hous secretli groom christin daae opera diva lure remot underground lair phantom declar love christin love raoul de chagni plan elop phantom learn abduct christin
The Magnificent Ambersons,spoil young heir decay amberson fortun come widow mother man alway love
The Magnificent Seven,oppress mexican peasant villag hire seven gunfight help defend home
Spartacus,rebelli thracian spartacu born rais slave sold gladiat trainer batiatu week train kill arena spartacu turn owner lead slave rebellion rebel move town town number swell escap slave join rank leadership spartacu make way southern itali cross sea return home
Dog Day Afternoon,base true stori would brooklyn bank robber john wojtowicz salvator natural sonni sal attempt bank heist quickli turn sour escal hostag situat stand polic sonni motiv robberi slowli reveal thing becom complic heist turn media circu
Paths of Glory,command offic defend three scapegoat trial fail offens occur within french armi
Sweet Smell of Success,new york citi newspap writer j j hunseck hold consider sway public opinion broadway column one thing control younger sister susan relationship aspir jazz guitarist steve dalla hunseck strongli disapprov romanc recruit publicist sidney falco find way split coupl matter ruthless method
Tabu,youngster matahi reri love old warrior hitu announc reri new chosen virgin god mean must stay untouch otherwis lover kill matahi abduct escap island rule white man god would harmless powerless
Seven Years in Tibet,austrian mountain heinrich harrer journey himalaya without famili head expedit world war ii break arrog harrer fall alli forc hand prison war escap fellow detaine make way llaso tibet meet year old dalai lama whose friendship ultim transform outlook life
The Ox-Bow Incident,gil carter art croft ride small nevada town plagu cattl thiev initi suspect rustler carter croft eventu join poss get crimin also may involv recent shoot poss close group could fugit must decid cours action numer live hang balanc
The Philadelphia Story,rich woman ex husband tabloid type report turn plan remarriag begin learn truth
The Manchurian Candidate,near end korean war platoon u soldier captur communist brainwash follow war platoon return home sergeant raymond shaw laud hero rest platoon howev platoon command captain bennett marco find plagu strang nightmar soon race uncov terribl plot
The Man Who Would Be King,robust adventur two british adventur take primit kafiristan godlik ruler meet tragic end desir nativ girl base short stori rudyard kipl
Dirty Harry,madman dub scorpio terror san francisco hard nose cop harri callahan famou take prison approach law enforc task hunt psychopath harri eventu collar scorpio process rescu kidnap victim see walk technic maverick detect determin nail maniac
Eraserhead,henri spencer tri surviv industri environ angri girlfriend unbear scream newli born mutant child
Chimes at Midnight,culmin orson well lifelong obsess shakespear robustli funni ultim tragic screen antihero sir john falstaff loyal often sous friend king henri iv wayward son princ hal integr element henri iv play well richard ii henri v merri wive windsor
The Front Page,journalist suffer burn want final say goodby offic boss like idea one bit
The China Syndrome,seri report altern energi sourc opportunist report kimberli well wit accid nuclear power plant well determin public incid soon find entangl sinist conspiraci keep full impact incid secret
The Mortal Storm,roth famili lead quiet life small villag german alp earli nazi come power famili divid martin brietner famili friend caught turmoil
The Hustler,fast eddi felson small time pool hustler lot talent self destruct attitud bravado caus challeng legendari minnesota fat high stake match
The Man Who Fell to Earth,thoma jerom newton alien come earth search water save home planet aid lawyer oliv farnsworth thoma use knowledg advanc technolog creat profit invent develop method transport water thoma meet mari lou quiet hotel clerk begin fall love readi leav earth thoma intercept u govern entir plan threaten
Sherlock Jr.,film projectionist long detect put meagr skill work frame rival steal girlfriend father pocketwatch
Sleuth,mysteri novelist devis insur scam wife lover thing exactli seem
Straw Dogs,david sumner mild manner academ unit state marri ami englishwoman order escap hectic statesid lifestyl david wife reloc small town rural cornwal ami rais david ostrac brutish men villag includ ami old flame charli eventu taunt escal two local rape ami sexual assault awak shockingli violent side david
Stagecoach,group peopl travel stagecoach find journey complic threat geronimo learn someth process
Double Indemnity,rich woman calcul insur agent plot kill unsuspect husband sign doubl indemn polici backdrop distinctli californian set partner crime plan perfect murder collect insur pay doubl death accident
Mulholland Drive,blond betti elm arriv hollywood becom movi star meet enigmat brunett amnesia meanwhil two set solv second woman ident filmmak adam kesher run omin troubl cast latest project
Heavenly Creatures,wealthi precoci teenag juliet transfer england new zealand famili soon befriend quiet brood paulin share love fantasi literatur parent begin suspect increasingli intens obsess bond becom unhealthi girl hatch dark plan threaten keep apart
Sommersby,set south unit state civil war laurel sommersbi manag work farm without husband jack believ kill civil war account jack sommersbi pleasant man thu return laurel mix emot appear jack chang great deal lead peopl believ actual jack impost laurel unsur will take man home perhap later heart
The French Connection,tough narcot detect popey doyl hot pursuit suav french drug dealer may key huge heroin smuggl oper
Blow-Up,success mod photograph london whose world bound fashion pop music marijuana easi sex feel life bore despair cours singl day accident captur film commiss murder fact photograph murder occur studi blow neg uncov detail blow smaller smaller element final put puzzl togeth
Breathless,jess get la vega quickli steal car drive l way shoot polic man make l stay monica girl known day film progress polic get closer crime escal
Arlington Road,threat sinist foreign nation thing fear bedraggl colleg professor michael faraday vex increasingli paranoid sinc wife accident death botch fbi oper take backseat seemingli american coupl set hous next door
Whale Rider,east coast new zealand whangara peopl believ presenc date back thousand year singl ancestor paikea escap death cano capsiz ride shore back whale whangara chief alway first born alway male consid paikea direct descend pai year old girl patriarch new zealand tribe believ destin new chief grandfath koro bound tradit pick male leader pai love koro anyon world must fight thousand year tradit fulfil destini
Point Break,lo angel gang bank robber call ex presid commit crime wear mask reagan carter nixon johnson believ member gang could surfer f b send young agent johnni utah beach undercov mix surfer gather inform
The Thirteenth Floor,lo angel wealthi man known mr fuller discov shock secret world live fear life leav desper messag friend unexpect place
The Thing,member american scientif research outpost antarctica find battl parasit alien organ capabl perfectli imit victim soon discov task harder thought know member team alreadi assimil paranoia threaten tear apart
The Third Man,postwar vienna austria holli martin writer pulp western arriv penniless guest childhood chum harri lime learn die martin develop conspiraci theori learn third man present time harri death run interfer british offic major calloway fall head heel harri grief stricken lover anna
Escape from New York,island manhattan wall turn giant maximum secur prison within countri worst crimin left form anarch societi howev presid unit state crash land island author turn former soldier current convict rescu
The Wind That Shakes the Barley,ireland young doctor damien donovan prepar depart new job london hospit say goodby friend farm british black tan arriv young man kill damien join brother teddi irish republican armi polit event soon set motion tear brother apart
Catch a Fire,true stori anti apartheid activist south africa particularli life patrick chamusso timid foreman secunda ctl largest synthet fuel plant world patrick wrongli accus imprison tortur attempt bomb plant injustic transform apolit worker radicalis insurg carri success sabotag mission
The Prestige,mysteri stori two magician whose intens rivalri lead life long battl supremaci full obsess deceit jealousi danger deadli consequ
Dreamgirls,three young women dream becom pop star get wish chosen backup singer legendari jame thunder earli
In My Father's Den,paul macfadyen prize win war journalist return remot new zealand hometown due death father battl scar world weari discont sixteen year old celia barclay open world dream activ pursu friendship fascin cynic experi world beyond small town exist mani includ member famili otto moy frown upon friendship celia goe miss paul becom increasingli loath persecut prime suspect disappear violent urgent truth gradual emerg paul forc confront famili tragedi betray ran youth face grievou consequ silenc secreci surround entir adult life
The Miracle Worker,true stori frighten lone world silenc dark year old helen keller sinc infanc never seen sky heard mother voic express innermost feel anni sullivan year old teacher boston arriv recent regain sight nonsens anni reach helen power touch tool common lead bold pupil miracul journey fear isol happi light
The Miracle Worker,devot teacher ann sullivan lead deaf blind mute helen keller solitud help integr world
Babel,babel tragic incid involv american coupl morocco spark chain event four famili differ countri throughout world struggl overcom isol fear displac charact discov famili ultim provid solac remot sand moroccan desert rifl shot ring deton chain event link american tourist coupl frantic struggl surviv two moroccan boy involv accident crime nanni illeg cross mexico two american children japanes teen rebel whose father sought polic tokyo separ clash cultur sprawl distanc four dispar group peopl nevertheless hurtl toward share destini isol grief
The Queen,queen intim behind scene glimps interact hm elizabeth ii prime minist toni blair struggl follow death diana reach compromis privat tragedi royal famili public demand overt display mourn
The Talented Mr. Ripley,tom ripley calcul young man believ better fake somebodi real nobodi opportun knock form wealthi u shipbuild hire tom travel itali bring back playboy son dicki ripley worm way idyl live dicki girlfriend plung dare scheme duplic lie murder
The Remains of the Day,rule bound head butler world manner decorum household maintain test arriv housekeep fall love post wwi britain possibl romanc master cultiv tie nazi caus challeng care maintain veneer servitud
Rocky Balboa,lose highli public virtual box match ex champ rocki balboa reign heavyweight titlehold mason dixon retali challeng rocki nation televis round exhibit bout surpris son friend rocki agre come retir face oppon faster stronger thirti year junior
The Good Shepherd,edward wilson wit father suicid member skull bone societi student yale moral upright young man valu honor discret qualiti help recruit career newli found oss dedic work come without price though lead sacrific ideal eventu famili
Hannibal Rising,stori earli murder root cannibalist killer hannib lecter hard scrabbl lithuanian childhood wit repuls length hungri soldier go satiat sojourn franc med student hone appetit kill
Hollywoodland,complic life controversi suicid georg reev investig fiction privat detect find reason suspect reev may kill detect also find littl georg reev mayb us
Ghost Rider,order save die father young stunt cyclist johnni blaze sell soul mephistophel sadli part pure heart roxann simpson love life year later johnni path cross roxann go get report also mephistophel offer releas johnni soul johnni becom fabl fieri ghost rider
Letters from Iwo Jima,stori battl iwo jima unit state imperi japan world war ii told perspect japanes fought
Lonely Hearts,base true stori late martha beck raymond fernandez america notori lone heart killer lethal scam simpl would swindl vicious murder lovelorn war widow would answer person ad ray would describ sexi latin lover
Breaking and Entering,set blight inner citi neighbourhood london break enter examin affair unfold success british landscap architect amira bosnian woman mother troubl teen son widow war bosnia herzegovina
Because I Said So,effort prevent famili histori repeat meddlesom mom daphn wilder attempt set youngest daughter milli mr right meanwhil daughter tri keep mom good intent control
Notes on a Scandal,veteran high school teacher befriend younger art teacher affair one year old student howev intent new friend also go well beyond platon friendship
